left_target_attribute,right_target_attribute,left_instance_attribute,right_instance_attribute,left_instance_value,right_instance_value,label
auto_focus_beam,auto_focus_beam,www.shopmania.in//1352//af illuminator,www.shopmania.in//1099//af illuminator,yes,yes,1
auto_focus_beam,auto_focus_beam,www.canon-europe.com//10//af assist beam,www.cambuy.com.au//5//af assist lamp,yes,yes (on / off),1
auto_focus_mode,auto_focus_mode,www.shopmania.in//899//autofocus,www.shopmania.in//1102//autofocus,"continuous
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking","contrast detect
/ face detection
/ multi-area
/ tracking",1
auto_focus_mode,auto_focus_mode,www.camerafarm.com.au//796//autofocus system,www.flipkart.com//2323//auto focus,nikon advanced multi-cam 3500fx autofocus sensor module with ttl phase detection,yes,1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//1255//auto focus,www.shopmania.in//1712//autofocus,contrast detection af,"center
/ contrast detect
/ face detection
/ live view
/ multi-area
/ single
/ tracking",1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//940//focus,www.mypriceindia.com//724//auto focus,auto,"yes, ttl",1
auto_focus_mode,auto_focus_mode,cammarkt.com//103//focus type,www.mypriceindia.com//724//auto focus,"manual focus
a ccd sensor will provide a sharper more precise image, but is generally more power consuming. cmos sensors are generally more energy efficient and are creating better and better images as technology develops.","yes, ttl",1
auto_focus_mode,auto_focus_mode,www.flipkart.com//2297//auto focus,www.flipkart.com//2236//auto focus,ttl phase detection by nikon multi-cam 1000 autofocus module with af-assist,yes,1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//883//focus mode,www.price-hunt.com//9545//focus,"manual focusing (mf), ai focus af, ai servo af, one-shot af",auto / manual,1
auto_focus_mode,auto_focus_mode,cammarkt.com//50//focus type,www.pricedekho.com//1238//auto focus,autofocus & manual focus,"11 focus points, ttl phase detection",1
auto_focus_mode,auto_focus_mode,www.mypriceindia.com//92//auto focus,www.shopmania.in//1138//autofocus,"yes, ttl phase detection,11 focus points","center
/ continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking",1
auto_focus_mode,auto_focus_mode,www.flipkart.com//2174//auto focus,www.ilgs.net//48//auto focusing af modes,yes,"continuous auto focus, face detection, servo auto focus, single auto focus, tracking auto focus",1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//9570//auto focus,www.cambuy.com.au//125//autofocus af,auto focus,contrast-detect af,1
auto_focus_mode,auto_focus_mode,www.mypriceindia.com//128//auto focus,www.shopmania.in//1454//autofocus,"yes, ttl","continuous
/ contrast detect
/ live view
/ single",1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//9630//auto focus,www.flipkart.com//2307//auto focus,high-speed imager af,ttl phase detection,1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//942//auto focus,www.flipkart.com//2240//auto focus,"ttl secondary image-registration, phase detection",yes,1
auto_focus_mode,auto_focus_mode,www.flipkart.com//2300//auto focus,www.shopmania.in//1383//autofocus,ttl phase detection,"center
/ contrast detect
/ face detection
/ selective single-point
/ tracking",1
auto_focus_mode,auto_focus_mode,cammarkt.com//325//focus type,www.flipkart.com//2244//auto focus,autofocus & manual focus,ttl phase detection,1
auto_focus_mode,auto_focus_mode,www.camerafarm.com.au//796//focus modes,www.mypriceindia.com//714//auto focus,"auto af-s/af-c selection (af-a)
continuous-servo (af-c)
face-priority af available in live view only and d-movie only
full-time servo (af-a) available in live view only
manual (m) with electronic rangefinder
normal area
single-servo af (af-s)
wide area",yes,1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//1277//auto focus,www.mypriceindia.com//193//auto focus,yes,"yes, contrast detect, phase detect, multi-area, center, selective single point, tracking, single, continuous, face detection, live view",1
auto_focus_mode,auto_focus_mode,www.shopmania.in//1700//autofocus,www.cambuy.com.au//103//af modes,"center
/ continuous
/ contrast detect
/ face detection
/ multi-area
/ single
/ tracking",ai focus one shot ai servo,1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//777//focus,www.shopmania.in//1291//autofocus,auto,"contrast detect
/ live view
/ single",1
auto_focus_mode,auto_focus_mode,www.mypriceindia.com//164//auto focus,www.flipkart.com//2270//auto focus,"yes, contrast detect, multi-area, center, tracking, single, continuous, face detection",yes,1
auto_focus_mode,auto_focus_mode,cammarkt.com//29//focus type,www.price-hunt.com//747//auto focus,autofocus,ttl auto focus,1
auto_focus_mode,auto_focus_mode,www.camerafarm.com.au//827//autofocus system,www.buzzillions.com//649//focus modes,hybrid autofocus (phase detection/contrast-detect af) af-assist illuminator,manual focus 61-point (up to 41 cross-type points) predictive focus auto ai focus af one-shot af,1
auto_focus_mode,auto_focus_mode,www.canon-europe.com//21//af modes,www.cambuy.com.au//26//autofocus af,"¹ some settings limit availability. single, continuous (auto mode only), servo af/ae¹, tracking af¹",contrast-detect af,1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//1157//auto focus,www.mypriceindia.com//791//auto focus,yes,"yes, contrast detect, phase detect, multi-area, selective single point, tracking, single, continuous, face detection, live view",1
auto_focus_mode,auto_focus_mode,www.camerafarm.com.au//819//focus modes,www.pricedekho.com//1242//auto focus,auto (af) auto af-s/af-c selection (af-a) single-servo af (af-s) continuous-servo (af-c) full-time servo (af-f) manual focus (mf),yes,1
auto_focus_mode,auto_focus_mode,www.shopmania.in//1099//autofocus,www.shopmania.in//1135//autofocus,"center
/ continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking","continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ selective single-point
/ single
/ touch
/ tracking",1
auto_focus_mode,auto_focus_mode,www.shopmania.in//1099//autofocus,www.shopmania.in//984//autofocus,"center
/ continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking","continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking",1
auto_focus_mode,auto_focus_mode,www.price-hunt.com//9817//auto focus,www.shopmania.in//1107//autofocus,contrast detect af,"center
/ continuous
/ face detection
/ multi-area
/ phase detect
/ single
/ tracking",1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//762//auto focus,www.shopmania.in//1114//autofocus,contrast detection af,"continuous
/ contrast detect
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single",1
