left_target_attribute,right_target_attribute,left_instance_attribute,right_instance_attribute,left_instance_value,right_instance_value,label
auto_focus_mode,auto_focus_mode,cammarkt.com//50//focus type,www.pricedekho.com//1238//auto focus,autofocus & manual focus,"11 focus points, ttl phase detection",1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//1277//auto focus,www.mypriceindia.com//193//auto focus,yes,"yes, contrast detect, phase detect, multi-area, center, selective single point, tracking, single, continuous, face detection, live view",1
auto_focus_mode,auto_focus_mode,www.shopmania.in//1099//autofocus,www.shopmania.in//984//autofocus,"center
/ continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking","continuous
/ contrast detect
/ face detection
/ live view
/ multi-area
/ phase detect
/ selective single-point
/ single
/ tracking",1
auto_focus_mode,auto_focus_mode,www.pricedekho.com//1193//auto focus,www.shopmania.in//1291//autofocus,yes,"contrast detect
/ live view
/ single",1
auto_focus_mode,auto_focus_mode,cammarkt.com//413//focus type,www.mypriceindia.com//8//auto focus,"autofocus & manual focus
a ccd sensor will provide a sharper more precise image, but is generally more power consuming. cmos sensors are generally more energy efficient and are creating better and better images as technology develops.","yes, contrast detect, phase detect, multi-area, center, selective single point, tracking, single, continuous, face detection, live view",1
auto_focus_mode,auto_focus_mode,www.mypriceindia.com//149//auto focus,www.shopmania.in//1383//autofocus,"yes, contrast detect af","center
/ contrast detect
/ face detection
/ selective single-point
/ tracking",1
auto_focus_points,auto_focus_points,www.mypriceindia.com//18//other focus features,www.ebay.com//47564//afarea mode,"focal length multiplier (1.5x), no. of focus points (39)","single-point af, dynamic-area af, auto-area af, 3d-tracking (11 points)",1
auto_focus_points,auto_focus_points,www.shopmania.in//1555//number of focus points,www.cambuy.com.au//29//af point selection,49,"size (normal, small)",1
auto_focus_points,auto_focus_points,www.mypriceindia.com//83//other focus features,www.shopmania.in//698//number of focus points,"focal length multiplier (5.5x), lens constitution ( 11 groups 15 lenses )",117,1
battery_type,battery_type,www.eglobalcentral.co.uk//52//battery,www.buzzillions.com//2315//compatible battery,en-el14a lithium-ion battery and charger,en-el14,1
battery_type,battery_type,www.cambuy.com.au//82//battery,www.cambuy.com.au//36//battery,one rechargeable li-ion en-el14a battery,one rechargeable li-ion en-el14a battery,1
battery_chemistry,battery_chemistry,www.shopmania.in//1167//battery,www.price-hunt.com//891//battery type,li-ion,lithium battery,1
camera_height,camera_height,www.shopmania.in//1569//height,www.buzzillions.com//2163//height inches,93 mm,4.1,1
camera_width,camera_width,www.canon-europe.com//92//dimensions wxhxd,www.walmart.com//730//product in inches l x w x h,100.2 x 59.0 x 29.0 mm,4.83 x 3.31 x 3.86,1
camera_width,camera_width,www.walmart.com//744//product in inches l x w x h,www.gosale.com//1334//dimensions,0.7 x 3.1 x 2.1,4.2 x 2.8 x 1.7 in.,1
camera_width,camera_width,www.walmart.com//685//product in inches l x w x h,www.cambuy.com.au//26//dimensions w x h x d,6.0 x 4.0 x 3.0,approx. 107.6 x 66.1 x 40.4 mm (4.3 x 2.7 x 1.6 in.) (excluding projections),1
camera_width,camera_width,www.wexphotographic.com//147//size,buy.net//5842//width,122 ã 86 ã 116 mm,4.3 in,1
camera_width,camera_width,www.cambuy.com.au//73//dimensions w x h x d,www.shopmania.in//1583//width,approx. 96.8 x 57.5 x 22.9 mm (3.9 x 2.3 x 1.0 in.) (excluding projections),111 mm,1
camera_width,camera_width,www.price-hunt.com//9873//dimensions,buy.net//6370//width,") x 23.9 (d) mm, 100.3 (w) x 55.9 (h",5.1 in,1
camera_width,camera_width,www.pricedekho.com//1230//dimensions,www.buzzillions.com//2723//width inches,5.2 x 4.06 x 3.03 inches,3.72,1
camera_width,camera_width,www.canon-europe.com//92//dimensions wxhxd,www.shopbot.com.au//1577//dimensions,100.2 x 59.0 x 29.0 mm,122 x 93 x 100 mm,1
camera_width,camera_width,www.price-hunt.com//9645//dimensions,www.shopmania.in//1009//width,") x 40.4 (d) mm, 107.6 (w) x 66.1 (h",127 mm,1
camera_width,camera_width,www.walmart.com//707//product in inches l x w x h,buy.net//6536//width,4.38 x 1.44 x 2.5,5.6 in,1
camera_width,camera_width,www.price-hunt.com//737//dimensions,buy.net//6511//width,126.9 (w) x 94.4 (h) x 48.2 (d) mm,5.1 in,1
camera_width,camera_width,www.henrys.com//221//dimensions wxhxd,cammarkt.com//186//width,109.4 x 68.0 x 27.5mm (4.31 x 2.68 x 1.08 in.),"12.7 cm
a viewfinder is the small square on the back of a camera that you look through to compose the scene. some cameras have small screens on the back that act as viewfinders. other cameras have small glass areas through which you can look out of the front of the camera. 5 in.",1
camera_width,camera_width,www.walmart.com//739//product in inches l x w x h,buy.net//5439//width,4.92 x 3.35 x 4.19,6 in,1
camera_width,camera_width,www.cambuy.com.au//22//dimensions w x h x d,www.shopmania.in//1167//width,100.2 x 59.0 x 29.0mm,124 mm,1
camera_type,camera_type,www.pcconnection.com//4455//camera type,www.buzzillions.com//2206//camera style,mirrorless system,point & shoot with zoom lens,1
camera_type,camera_type,buy.net//6783//camera type,www.shopbot.com.au//1257//camera type,digital slr camera,slr,1
camera_type,camera_type,buy.net//6408//camera type,www.gosale.com//930//camera type,mirrorless interchangeable lens camera,slr,1
camera_type,camera_type,buy.net//4309//camera type,www.gosale.com//1377//camera type,point & shoot digital camera,slr,1
camera_type,camera_type,buy.net//5413//camera type,www.gosale.com//917//camera type,compact camera,point-and-shoot,1
camera_type,camera_type,www.gosale.com//1272//camera type,www.gosale.com//555//camera type,point-and-shoot,slr,1
color,color,www.ukdigitalcameras.co.uk//292//colour,www.ilgs.net//142//colour of product,black,red red,1
color,color,www.flipkart.com//2200//color,www.pcconnection.com//4453//color,black,black,1
color,color,cammarkt.com//344//color,www.pcconnection.com//12396//color,none,black,1
color,color,www.pricedekho.com//1277//color,www.pcconnection.com//12194//color,black,black,1
exposure_compensation,exposure_compensation,www.camerafarm.com.au//828//exposure compensation,www.cambuy.com.au//118//exposure compensation,3 ev in increments of 1/3ev,"+/- 2.0 ev, 1/3 ev step",1
exposure_compensation,exposure_compensation,www.canon-europe.com//95//exposure compensation,www.wexphotographic.com//161//exposure control,"+/- 3 ev in 1/3 stop increments
enhanced i-contrast for automatic dynamic range correction
nd filter (3 stop)","1/3 ev step, +/-3 ev",1
exposure_mode,exposure_mode,www.camerafarm.com.au//819//exposure modes,www.wexphotographic.com//571//exposure modes,programmed auto with flexible program (p) shutter-priority auto (s) aperture-priority auto (a) aperture-priority (a) manual (m) scene auto selector,"programmed ae, shutter priority ae, aperture priority ae, manual exposure, 14 scene modes",1
exposure_mode,exposure_mode,www.shopmania.in//950//exposure modes,www.shopmania.in//1009//exposure modes,aperture priority / auto / intelligent auto / movie / program / scene / shutter priority / sport / 3d,aperture priority / auto / custom / intelligent auto / manual / movie / program / scene / shutter priority / 3d,1
external_memory_type,external_memory_type,www.shopmania.in//872//memory type,www.wexphotographic.com//158//card format,sd / sdhc / sdxc,"sd, sdhc, sdxc",1
